id,message
1,"Hi, can you tell me the status of shipment #20451?"
2,"My delivery arrived late and the box was damaged."
3,"I still haven’t received my payment for last week’s trip."
4,"When will I get the invoice for the last delivery?"
5,"The tracking link doesn’t work, can you update me on shipment 553?"
6,"I delivered everything on time but haven’t been paid yet."
7,"Package was delivered to the wrong address."
8,"Can you confirm if order 221 is already in transit?"
9,"I was double-charged for a delivery, please fix this."
10,"Everything went smoothly today, thank you!"
